All Transactions Activity Types

Account Activity for Stocks -0067 from Current Year

Total:,-921.88

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
03/17/26,03/17/26,03/17/26,Dividend,UNITEDHEALTH GP INC DIVIDEND REINVESTMENT,UNH,--,0.791,285.03,-225.45,0.0,--,--
03/17/26,03/17/26,03/17/26,Dividend,STATE STREET SPDR PORTFOLIO DIVIDEND REINVESTMENT,SPYM,--,0.673,78.641,-52.92,0.0,--,--
03/17/26,03/17/26,03/17/26,Dividend,STATE STREET SPDR PORTFOLIO,SPYM,--,,,52.95,0.0,--,--
03/17/26,03/17/26,03/17/26,Qualified Dividend,UNITEDHEALTH GP INC REC 03/17/26 PAY 03/17/26 RATE 0.00000000 QTY 0.00000000,UNH,--,,,225.55,0.0,--,--
03/17/26,03/17/26,03/18/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.064,93.96,-99.97,0.0,--,--
03/17/26,03/17/26,03/18/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.217,459.89,-99.8,0.0,--,--
03/17/26,03/17/26,03/18/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.203,83.1,-99.97,0.0,--,--
03/17/26,03/17/26,03/18/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.377,72.617,-99.99,0.0,--,--
03/17/26,03/17/26,03/18/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.375,266.57,-99.96,0.0,--,--
03/17/26,03/17/26,03/18/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.161,619.115,-99.68,0.0,--,--
03/17/26,03/17/26,03/18/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.822,121.529,-99.9,0.0,--,--
03/17/26,03/17/26,03/18/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.338,295.144,-99.76,0.0,--,--
03/17/26,03/17/26,03/18/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.797,111.28,-199.97,0.0,--,--
03/16/26,03/16/26,03/16/26,Qualified Dividend,ALPHABET INC CL A REC 03/16/26 PAY 03/16/26 RATE 0.00000000 QTY 0.00000000,GOOGL,--,,,0.04,0.0,--,--
03/16/26,03/16/26,03/16/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:15545827395,--,--,,,1000.0,0.0,--,--
03/12/26,03/12/26,03/12/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-0.22,0.0,--,--
03/12/26,03/12/26,03/12/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,0.22,0.0,--,--
03/12/26,03/12/26,03/12/26,Dividend,MICROSOFT CORP DIVIDEND REINVESTMENT,MSFT,--,0.226,404.228,-91.35,0.0,--,--
03/12/26,03/12/26,03/12/26,Qualified Dividend,MICROSOFT CORP REC 03/12/26 PAY 03/12/26 RATE 0.00000000 QTY 0.00000000,MSFT,--,,,91.57,0.0,--,--
03/11/26,03/11/26,03/11/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,999.25,0.0,--,--
03/11/26,03/11/26,03/11/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-999.25,0.0,--,--
03/10/26,03/10/26,03/11/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.063,94.03,-99.95,0.0,--,--
03/10/26,03/10/26,03/11/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.192,83.89,-100.0,0.0,--,--
03/10/26,03/10/26,03/11/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.209,478.46,-100.0,0.0,--,--
03/10/26,03/10/26,03/11/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.239,80.7,-99.99,0.0,--,--
03/10/26,03/10/26,03/11/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.371,269.48,-99.98,0.0,--,--
03/10/26,03/10/26,03/11/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.159,626.461,-99.61,0.0,--,--
03/10/26,03/10/26,03/11/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.794,111.47,-199.98,0.0,--,--
03/10/26,03/10/26,03/11/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.812,123.08,-99.94,0.0,--,--
03/10/26,03/10/26,03/11/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.335,297.916,-99.8,0.0,--,--
03/09/26,03/09/26,03/09/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:14895417395,--,--,,,1000.0,0.0,--,--
03/05/26,03/05/26,03/05/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-0.19,0.0,--,--
03/05/26,03/05/26,03/05/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,0.19,0.0,--,--
03/05/26,03/05/26,03/05/26,Dividend,ISHARES JP MORGAN EM BOND ETF DIVIDEND REINVESTMENT,EMB,--,0.041,96.759,-3.96,0.0,--,--
03/05/26,03/05/26,03/05/26,Dividend,ISHARES CORE U.S. AGGREGATE DIVIDEND REINVESTMENT,AGG,--,0.602,100.536,-60.52,0.0,--,--
03/05/26,03/05/26,03/05/26,Dividend,ISHARES CORE U.S. AGGREGATE,AGG,--,,,60.62,0.0,--,--
03/05/26,03/05/26,03/05/26,Dividend,ISHARES JP MORGAN EM BOND ETF,EMB,--,,,4.05,0.0,--,--
03/04/26,03/04/26,03/04/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1143.94,0.0,--,--
03/04/26,03/04/26,03/04/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1143.94,0.0,--,--
03/04/26,03/04/26,03/04/26,Dividend,VANGUARD INTERMEDIATE TERM COR DIVIDEND REINVESTMENT,VCIT,--,0.235,83.93,-19.72,0.0,--,--
03/04/26,03/04/26,03/04/26,Dividend,JPMORGAN ULTRA-SHORT INCOME DIVIDEND REINVESTMENT,JPST,--,0.131,50.57,-6.62,0.0,--,--
03/04/26,03/04/26,03/04/26,Dividend,VANGUARD TOTAL BOND MARKET DIVIDEND REINVESTMENT,BND,--,0.35,74.489,-26.07,0.0,--,--
03/04/26,03/04/26,03/04/26,Dividend,VANGUARD INTERMEDIATE TERM COR,VCIT,--,,,19.79,0.0,--,--
03/04/26,03/04/26,03/04/26,Dividend,VANGUARD TOTAL BOND MARKET,BND,--,,,26.12,0.0,--,--
03/04/26,03/04/26,03/04/26,Dividend,JPMORGAN ULTRA-SHORT INCOME,JPST,--,,,6.63,0.0,--,--
03/03/26,03/03/26,03/04/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.062,94.159,-100.0,0.0,--,--
03/03/26,03/03/26,03/04/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.192,83.886,-99.99,0.0,--,--
03/03/26,03/03/26,03/04/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.213,468.107,-99.71,0.0,--,--
