All Transactions Activity Types

Account Activity for Stocks -0067 from Current Year

Total:,-921.88

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
02/02/26,02/02/26,02/02/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,70.3,0.0,--,--
02/02/26,02/02/26,02/02/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-70.3,0.0,--,--
02/02/26,02/02/26,02/02/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:11637504395,--,--,,,1000.0,0.0,--,--
02/02/26,02/02/26,01/30/26,Option Expired,PUT  SPXW   01/30/26  6845.000,SPX,--,1.0,,0.0,0.0,--,--
02/02/26,02/02/26,01/30/26,Option Expired,PUT  SPXW   01/30/26  6840.000,SPX,--,-1.0,,0.0,0.0,--,--
01/30/26,01/30/26,01/30/26,Dividend,STATE STREET SPDR S&P 500 ETF,SPY,--,,,0.66,0.0,--,--
01/30/26,01/30/26,01/30/26,Margin Interest,Thru 01/31/26 for 4 days,--,--,,,-0.08,0.0,--,--
01/28/26,01/28/26,01/28/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1180.74,0.0,--,--
01/28/26,01/28/26,01/28/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1180.74,0.0,--,--
01/28/26,01/28/26,01/28/26,Interest Income,MORGAN STANLEY BANK N.A. (Period 01/01-01/27),MSBNK,--,,,0.12,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought To Cover,PUT  QQQ    02/20/26   595.000,QQQ,--,1.0,2.9,-290.51,0.51,--,--
01/27/26,01/27/26,01/28/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.108,90.219,-99.96,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.19,83.979,-99.93,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.213,468.005,-99.69,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.017,98.27,-99.94,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.365,273.724,-99.91,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.156,640.2,-99.87,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.768,130.13,-99.94,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.333,300.025,-99.91,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.81,110.455,-199.92,0.0,--,--
01/27/26,01/27/26,01/28/26,Bought To Open,PUT  SPXW   01/30/26  6840.000,SPX,--,1.0,7.05,-706.02,0.51,--,--
01/27/26,01/27/26,01/28/26,Sold Short,PUT  SPXW   01/30/26  6845.000,SPX,--,-1.0,7.45,743.98,0.51,--,--
01/26/26,01/26/26,01/26/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:10954103395,--,--,,,1000.0,0.0,--,--
01/26/26,01/26/26,01/26/26,Online Transfer,TRANSFER TO XXXXXX1327  REFID:10941425395,--,--,,,-15000.0,0.0,--,--
01/22/26,01/22/26,01/22/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-956.9,0.0,--,--
01/22/26,01/22/26,01/22/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,956.9,0.0,--,--
01/21/26,01/21/26,01/21/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-859.73,0.0,--,--
01/21/26,01/21/26,01/21/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,859.73,0.0,--,--
01/21/26,01/21/26,01/22/26,Sold Short,CALL NVDA   02/27/26   215.000,NVDA,--,-6.0,1.6,956.9,3.08,--,--
01/20/26,01/20/26,01/20/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-68999.8,0.0,--,--
01/20/26,01/20/26,01/20/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,68999.8,0.0,--,--
01/20/26,01/20/26,01/21/26,Sold Short,CALL UNH    05/15/26   390.000,UNH,--,-1.0,10.74,1073.49,0.51,--,--
01/20/26,01/20/26,01/21/26,Bought To Cover,CALL UNH    02/20/26   390.000,UNH,--,1.0,2.14,-214.51,0.51,--,--
01/20/26,01/20/26,01/21/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.094,91.352,-99.94,0.0,--,--
01/20/26,01/20/26,01/21/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.196,83.559,-99.94,0.0,--,--
01/20/26,01/20/26,01/21/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.229,435.6,-99.75,0.0,--,--
01/20/26,01/20/26,01/21/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.365,273.803,-99.94,0.0,--,--
01/20/26,01/20/26,01/21/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.173,85.2,-99.94,0.0,--,--
01/20/26,01/20/26,01/21/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.159,628.858,-99.99,0.0,--,--
01/20/26,01/20/26,01/21/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.755,132.39,-99.95,0.0,--,--
01/20/26,01/20/26,01/21/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.821,109.827,-199.99,0.0,--,--
01/20/26,01/20/26,01/21/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.335,297.94,-99.81,0.0,--,--
01/20/26,01/20/26,01/20/26,Online Transfer,TRANSFER TO XXXXXX1327  REFID:10430925395,--,--,,,-82300.0,0.0,--,--
01/20/26,01/20/26,01/19/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:10319389395,--,--,,,1000.0,0.0,--,--
01/20/26,01/20/26,01/20/26,Sold,ROBINHOOD MKTS INC CL A,HOOD,--,-1000.0,70.0,69999.8,0.0,--,--
01/20/26,01/20/26,01/16/26,Option Expired,PUT  NVDA   01/16/26   175.000,NVDA,--,-6.0,,0.0,0.0,--,--
01/20/26,01/20/26,01/16/26,Option Expired,PUT  HOOD   01/16/26    65.000,HOOD,--,-10.0,,0.0,0.0,--,--
01/20/26,01/20/26,01/16/26,Option Assigned,CALL HOOD   01/16/26    70.000,HOOD,--,10.0,,0.0,0.0,--,--
01/14/26,01/14/26,01/14/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,998.92,0.0,--,--
01/14/26,01/14/26,01/14/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-998.92,0.0,--,--
01/13/26,01/13/26,01/14/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.118,89.437,-99.99,0.0,--,--
01/13/26,01/13/26,01/14/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.235,424.69,-99.8,0.0,--,--
01/13/26,01/13/26,01/14/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.19,83.99,-99.95,0.0,--,--
01/13/26,01/13/26,01/14/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.244,80.386,-100.0,0.0,--,--
01/13/26,01/13/26,01/14/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.366,272.56,-99.76,0.0,--,--
01/13/26,01/13/26,01/14/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.156,638.001,-99.53,0.0,--,--
01/13/26,01/13/26,01/14/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.334,299.31,-99.97,0.0,--,--
01/13/26,01/13/26,01/14/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.813,110.305,-199.98,0.0,--,--
01/13/26,01/13/26,01/14/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.751,133.08,-99.94,0.0,--,--
01/12/26,01/12/26,01/12/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-165.9,0.0,--,--
01/12/26,01/12/26,01/12/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,165.9,0.0,--,--
01/12/26,01/12/26,01/12/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:9740464395,--,--,,,1000.0,0.0,--,--
01/09/26,01/09/26,01/09/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-1048.98,0.0,--,--
01/09/26,01/09/26,01/09/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,1048.98,0.0,--,--
01/09/26,01/09/26,01/12/26,Sold Short,PUT  SPXW   02/20/26  6805.000,SPX,--,-2.0,57.92,11581.95,1.03,--,--
01/09/26,01/09/26,01/12/26,Bought To Open,PUT  SPXW   02/20/26  6800.000,SPX,--,2.0,57.07,-11416.05,1.03,--,--
01/08/26,01/08/26,01/08/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-17186.99,0.0,--,--
01/08/26,01/08/26,01/08/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,17186.99,0.0,--,--
01/08/26,01/08/26,01/08/26,Dividend,GLOBAL X RBTCS & ARTIFICI ETF DIVIDEND REINVESTMENT,BOTZ,--,0.339,38.14,-12.92,0.0,--,--
01/08/26,01/08/26,01/07/26,Dividend,GLOBAL X RBTCS & ARTIFICI ETF,BOTZ,--,,,12.94,0.0,--,--
01/08/26,01/08/26,01/09/26,Sold Short,CALL SLV    02/20/26    75.000,SLV,--,-1.0,3.5,349.49,0.51,--,--
01/08/26,01/08/26,01/09/26,Sold Short,PUT  QQQ    02/20/26   595.000,QQQ,--,-1.0,7.0,699.49,0.51,--,--
01/07/26,01/07/26,01/07/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1010.57,0.0,--,--
01/07/26,01/07/26,01/07/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1010.57,0.0,--,--
01/07/26,01/07/26,01/08/26,Sold,GLOBAL X CLOUD COMPUTING ETF UNSOLICITED TRADE,CLOU,--,-96.0,22.895,2197.9,0.0,--,--
01/07/26,01/07/26,01/08/26,Sold,GLOBAL X CLOUD COMPUTING ETF UNSOLICITED TRADE,CLOU,--,-0.781,22.895,17.88,0.0,--,--
01/07/26,01/07/26,01/08/26,Sold Short,CALL MSFT   02/20/26   525.000,MSFT,--,-1.0,5.45,544.49,0.51,--,--
01/07/26,01/07/26,01/08/26,Sold,GLOBAL X NASD 1OO COV CALL UNSOLICITED TRADE,QYLD,--,-0.392,17.845,7.0,0.0,--,--
01/07/26,01/07/26,01/08/26,Sold,GLOBAL X NASD 1OO COV CALL UNSOLICITED TRADE,QYLD,--,-759.0,17.845,13544.21,0.0,--,--
01/07/26,01/07/26,01/08/26,Sold Short,CALL DUOL   02/20/26   200.000,DUOL,--,-1.0,8.76,875.49,0.51,--,--
01/06/26,01/06/26,01/07/26,Bought,VANGUARD REAL ESTATE ETF UNSOLICITED TRADE,VNQ,--,1.129,88.545,-99.97,0.0,--,--
01/06/26,01/06/26,01/07/26,Bought,VANGUARD INTERMEDIATE TERM COR UNSOLICITED TRADE,VCIT,--,1.193,83.81,-99.99,0.0,--,--
01/06/26,01/06/26,01/07/26,Bought,SPDR GOLD TR GOLD SHS UNSOLICITED TRADE,GLD,--,0.242,411.872,-99.67,0.0,--,--
01/06/26,01/06/26,01/07/26,Bought,VANGUARD SMALL CAP ETF UNSOLICITED TRADE,VB,--,0.376,265.65,-99.88,0.0,--,--
01/06/26,01/06/26,01/07/26,Bought,VANGUARD S&P 500 ETF UNSOLICITED TRADE,VOO,--,0.157,633.52,-99.46,0.0,--,--
01/06/26,01/06/26,01/07/26,Bought,ISHARES SILVER SHARES UNSOLICITED TRADE,SLV,--,1.373,72.8,-99.95,0.0,--,--
01/06/26,01/06/26,01/07/26,Bought,VANGUARD FINANCIALS ETF UNSOLICITED TRADE,VFH,--,0.729,136.997,-99.87,0.0,--,--
01/06/26,01/06/26,01/07/26,Bought,ISHARES TIPS BOND ETF UNSOLICITED TRADE,TIP,--,1.817,110.02,-199.91,0.0,--,--
01/06/26,01/06/26,01/07/26,Bought,VANGUARD MID-CAP ETF    INDEX VANGUARD MID-CAP ETF INDEX UNSOLICITED TRADE,VO,--,0.336,297.0,-99.79,0.0,--,--
01/06/26,01/06/26,01/07/26,Bought To Cover,CALL NVDA   01/16/26   240.000,NVDA,--,6.0,0.02,-12.08,0.08,--,--
01/05/26,01/05/26,01/05/26,Transfer,JPMORGAN ULTRA-SHORT INCOME  TRNSFR CASH TO MARGIN,JPST,--,0.002,,0.0,0.0,--,--
01/05/26,01/05/26,01/05/26,Transfer,JPMORGAN ULTRA-SHORT INCOME  TRNSFR CASH TO MARGIN,JPST,--,-0.002,,0.0,0.0,--,--
01/05/26,01/05/26,01/05/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,-0.01,0.0,--,--
01/05/26,01/05/26,01/05/26,Transfer,TRNSFR MARGIN TO CASH,--,--,,,0.01,0.0,--,--
01/05/26,01/05/26,01/05/26,Dividend,JPMORGAN ULTRA-SHORT INCOME DIVIDEND REINVESTMENT,JPST,--,0.002,50.61,-0.1,0.0,--,--
01/05/26,01/05/26,01/05/26,Dividend,JPMORGAN ULTRA-SHORT INCOME DIVIDEND REINVESTMENT,JPST,--,0.139,50.61,-7.03,0.0,--,--
01/05/26,01/05/26,01/05/26,Dividend,JPMORGAN ULTRA-SHORT INCOME,JPST,--,,,0.13,0.0,--,--
01/05/26,01/05/26,01/05/26,Dividend,JPMORGAN ULTRA-SHORT INCOME,JPST,--,,,7.04,0.0,--,--
01/05/26,01/05/26,01/05/26,Online Transfer,TRANSFER FROM XXXXXX1327  REFID:9058945395,--,--,,,1000.0,0.0,--,--
01/02/26,01/02/26,01/02/26,Transfer,JPMORGAN ULTRA-SHORT INCOME  TRNSFR CASH TO MARGIN,JPST,--,0.743,,0.0,0.0,--,--
01/02/26,01/02/26,01/02/26,Transfer,JPMORGAN ULTRA-SHORT INCOME  TRNSFR CASH TO MARGIN,JPST,--,-0.743,,0.0,0.0,--,--
01/02/26,01/02/26,01/02/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,1.06,0.0,--,--
01/02/26,01/02/26,01/02/26,Transfer,TRNSFR CASH TO MARGIN,--,--,,,-1.06,0.0,--,--



"For all accounts, the Activity Date and the Processing Date are displayed. However, for Morgan Stanley and Co. and Externally Held accounts, only the Activity Date is available; therefore, the Processing Date listed for these accounts will be equivalent to the Activity Date. Please rely on the official account statements of your Morgan Stanley & Co. or Externally Held account for the actual Processing Date of any of these assets, and refer to the definitions section for more information on these categories."

"The information provided with respect to your employee stock option plan (""ESOP"") was obtained from third party sources which Morgan Stanley believes to be reliable. However, we make no representation or guarantee that the information is accurate or complete. There may be other requirements, details, and criteria governing your ESOP. Please refer to the documentation provided by your employer for the terms and conditions governing your ESOP."

E*TRADE from Morgan Stanley credits and offers may be subject to U.S. withholding taxes and reporting at retail value. Taxes related to these credits and offers are the customer's responsibility.

"Under the Bank Deposit Program, free credit balances held in an account(s) at Morgan Stanley Smith Barney LLC are automatically deposited into an interest bearing deposit account(s), at FDIC-insured banks. For more information, view the Bank Deposit Program Disclosure Statement."

